Sentence_ID,Source_Language,Target_Language,Source_Text,Target_Text,Domain,Sentence_Length,Translation_Quality,Speaker_Region,Formality
S0020,English,Ateso,The road is bad,[Ateso translation] Ebarabara ekeda aiboroit.,Daily Conversation,4,High,Eastern,Formal
S0021,English,Runyankole,The crops are ready,[Runyankole translation] Ebihingwa byahaire,Agriculture,4,High,Central,Informal
S0022,English,Lusoga,The road is bad,[Lusoga translation] Oluguudo lubi,Health,4,High,West Nile,Formal
S0023,English,Rukiga,Welcome,[Rukiga translation] Twakwakiira,Tourism,1,High,Eastern,Informal
S0024,English,Acholi,Good morning,[Acholi translation] Icoo Maber,Business,2,High,Central,Informal
S0025,English,Lugbara,The patient needs medicine,[Lugbara translation] Ba azoruri le aro,Health,4,High,Eastern,Informal
S0026,English,Runyankole,Wash your hands,[Runyankole translation] Naba engaro,Health,3,High,West Nile,Formal
S0027,English,Lusoga,Thank you,[Lusoga translation] Webale,Business,2,High,Central,Informal
S0028,English,Runyankole,We are going home,[Runyankole translation] Turiho ntuza omuka,Education,4,High,Northern,Informal
S0029,English,Runyankole,Open the door,[Runyankole translation] YIgura orwigyi,Tourism,3,High,West Nile,Informal
S0030,English,Acholi,Welcome,[Acholi translation] Wa joli,Business,1,High,Central,Informal
S0031,English,Runyankole,Wash your hands,[Runyankole translation] Naba engaro,Health,3,High,Northern,Formal
S0032,English,Lugbara,School begins tomorrow,[Lugbara translation] Sukulu la ido dusi,Education,3,High,Western,Formal
S0033,English,Lugbara,The patient needs medicine,[Lugbara translation] Ba azoruri le aro,Health,4,High,Western,Formal
S0034,English,Ateso,Wash your hands,[Ateso translation] Elota akani,Health,3,High,Eastern,Informal
S0035,English,Rukiga,The patient needs medicine,[Rukiga translation] Omurwaire nayetenga embazi,Health,4,High,Central,Informal
S0036,English,Runyankole,The crops are ready,[Runyankole translation] Ebihingwa byahaire,Agriculture,4,High,Central,Formal
S0037,English,Lugbara,The patient needs medicine,[Lugbara translation] Ba azoruri le aro,Health,4,High,Central,Formal
S0038,English,Luganda,Welcome,[Luganda translation] Tukwaniriza,Agriculture,1,High,Western,Informal
S0039,English,Lusoga,The patient needs medicine,[Lusoga translation] Omulwaire yetaaga obulezi,Health,4,High,Northern,Informal
S0040,English,Rukiga,Wash your hands,[Rukiga translation] Naaba engaro zaawe,Health,3,High,Central,Formal
S0041,English,Rukiga,School begins tomorrow,[Rukiga translation] Eishomero niritandika nyencakare,Education,3,High,Western,Informal
S0042,English,Rukiga,We are going home,[Rukiga translation] Turiyo nituza omuka,Education,4,High,Central,Formal
S0043,English,Ateso,The crops are ready,[Ateso translation] Ebaret ekeda aiyare.,Agriculture,4,High,Central,Formal
S0044,English,Lugbara,Wash your hands,[Lugbara translation] Mi uji midriki,Health,3,High,Central,Informal
S0045,English,Lusoga,School begins tomorrow,[Lusoga translation] Eisomero litandika idho,Education,3,High,Western,Informal
S0046,English,Rukiga,Good morning,[Rukiga translation] Bwashesha gye,Tourism,2,High,Central,Formal
S0047,English,Rukiga,The market is busy today,[Rukiga translation] Akatare kijwire erizoba,Business,5,High,Eastern,Formal
S0048,English,Luganda,The crops are ready,[Luganda translation] Ebirime bikuze,Agriculture,4,High,Northern,Formal
S0049,English,Rukiga,Thank you,[Rukiga translation] Webare,Education,2,High,Eastern,Formal
S0001,English,Luganda,The road is bad,[Luganda translation] Ekkubo libi,Agriculture,4,High,Eastern,Formal
S0051,English,Ateso,This park has many animals,[Ateso translation] Epu eitur awujo,Tourism,5,High,Western,Informal
S0052,English,Luganda,Open the door,[Luganda translation] Ggulawo oluggi,Health,3,High,Central,Informal
S0053,English,Runyankole,The road is bad,[Runyankole translation] Oruguto nirubi,Tourism,4,High,Central,Informal
S0054,English,Luganda,Good morning,[Luganda translation] Wasuze otya,Daily Conversation,2,High,Northern,Informal
S0055,English,Runyankole,School begins tomorrow,[Runyankole translation] Isomero niritandika nkyakare,Education,3,High,Western,Formal
S0001,English,Luganda,The road is bad,[Luganda translation] Ekkubo libi,Agriculture,4,High,Eastern,Formal
S0057,English,Acholi,The crops are ready,[Acholi translation] Jami ma ki pito dong tye atera,Agriculture,4,High,Northern,Formal
S0058,English,Rukiga,Welcome,[Rukiga translation] Twakwakiira,Government,1,High,Central,Formal
S0059,English,Runyankole,Wash your hands,[Runyankole translation] Naba engaro,Health,3,High,West Nile,Informal
S0060,English,Ateso,We are going home,[Ateso translation] Alototo oire,Daily Conversation,4,High,Northern,Informal
S0061,English,Acholi,School begins tomorrow,[Acholi translation] Gang Kwan obi cake diki,Education,3,High,Northern,Informal
S0062,English,Rukiga,We are going home,[Rukiga translation] Turiyo nituza omuka,Tourism,4,High,Western,Informal
S0063,English,Ateso,Thank you,[Ateso translation] Eyalama noi.,Health,2,High,Northern,Formal
S0064,English,Lusoga,Thank you,[Lusoga translation] Webale,Daily Conversation,2,High,Northern,Informal
S0065,English,Runyankole,Open the door,[Runyankole translation] YIgura orwigyi,Health,3,High,West Nile,Formal
S0066,English,Runyankole,The market is busy today,[Runyankole translation] Akatare kali busy,Business,5,High,Northern,Formal
S0067,English,Lugbara,The crops are ready,[Lugbara translation] Nyaka afukibo,Agriculture,4,High,Western,Formal
S0068,English,Lugbara,This park has many animals,[Lugbara translation] Jeredigada anakpaki minji,Tourism,5,High,Central,Informal
S0069,English,Acholi,The patient needs medicine,[Acholi translation] Latwo ni mito yat,Health,4,High,West Nile,Informal
S0070,English,Luganda,Wash your hands,[Luganda translation] Naaba emikono gyo,Health,3,High,West Nile,Informal
S0071,English,Acholi,The road is bad,[Acholi translation] Gudu ni rac,Tourism,4,High,Northern,Informal
S0072,English,Acholi,Thank you,[Acholi translation] Apwoyo,Agriculture,2,High,Northern,Formal
S0073,English,Runyankole,Welcome,[Runyankole translation] Twakushemererwa,Government,unknown,High,West Nile,Informal
S0074,English,Runyankole,Thank you,[Runyankole translation] Webale,Agriculture,2,High,Eastern,Formal
S0075,English,Acholi,Wash your hands,[Acholi translation] Lwok cingi,Health,3,High,West Nile,Informal
S0076,English,Lugbara,We are going home,[Lugbara translation] Ama mu akuwa,Agriculture,4,High,Northern,Informal
S0077,English,Runyankole,This park has many animals,[Runyankole translation] Ekishaka kyiine ebinyamaiswa bingi,Tourism,5,High,Western,Informal
S0078,English,Runyankole,This park has many animals,[Runyankole translation] Ekishaka kyiine ebinyamaiswa bingi,Tourism,5,High,Central,Informal
S0079,English,Lusoga,The patient needs medicine,[Lusoga translation] Omulwaire yetaaga obulezi,Health,4,High,Northern,Informal
S0080,English,Lusoga,This park has many animals,[Lusoga translation] Paaka eno elina ensolo kamaala,Tourism,5,High,Eastern,Informal
S0081,English,Luganda,Wash your hands,[Luganda translation] Naaba emikono gyo,Health,3,High,West Nile,Informal
S0082,English,Rukiga,The market is busy today,[Rukiga translation] Akatare kijwire erizoba,Business,5,High,Central,Informal
S0083,English,Ateso,Wash your hands,[Ateso translation] Elota akani,Health,3,High,West Nile,Formal
S0084,English,Ateso,We are going home,[Ateso translation] Alototo oire,Daily Conversation,4,High,Northern,Formal
S0085,English,Lugbara,The patient needs medicine,[Lugbara translation] Ba azoruri le aro,Health,4,High,Northern,Informal
S0086,English,Lusoga,The crops are ready,[Lusoga translation] Ebisimbe byatuuka,Agriculture,4,High,Central,Informal
S0087,English,Runyankole,Wash your hands,[Runyankole translation] Naba engaro,Health,3,High,Eastern,Formal
S0088,English,Lusoga,We are going home,[Lusoga translation] Tuli kugya waka,Agriculture,4,High,West Nile,Informal
S0089,English,Lugbara,The road is bad,[Lugbara translation] Njila unji,Business,4,High,West Nile,Formal
S0090,English,Lugbara,Welcome,[Lugbara translation] Ma ai mira,Business,1,High,West Nile,Informal
S0091,English,Rukiga,Thank you,[Rukiga translation] Webare,Health,2,High,Western,Formal
S0092,English,Ateso,Thank you,[Ateso translation] Eyalama noi.,Tourism,2,High,Western,Formal
S0093,English,Acholi,School begins tomorrow,[Acholi translation] Gang Kwan obi cake diki,Education,3,High,Western,Informal
S0094,English,Acholi,This park has many animals,[Acholi translation] Kabedo pa lee ni tye ki lee mapol,Tourism,5,High,West Nile,Informal
S0095,English,Lusoga,The market is busy today,[Lusoga translation] Akatale kalimu abantu kamala olwalelo,Business,5,High,Western,Formal
S0096,English,Lugbara,The patient needs medicine,[Lugbara translation] Ba azoruri le aro,Health,4,High,West Nile,Formal
S0097,English,Lugbara,The crops are ready,[Lugbara translation] Nyaka afukibo,Agriculture,4,High,Western,Informal
S0098,English,Luganda,The crops are ready,[Luganda translation] Ebirime bikuze,Agriculture,4,High,Eastern,Informal
S0099,English,Luganda,The market is busy today,[Luganda translation] Akatale kaliimu abantu bangi leero,Business,5,High,Western,Informal
S0100,English,Ateso,School begins tomorrow,[Ateso translation] Egenu esomero emoi,Education,3,High,Eastern,Formal
S0101,English,Rukiga,The market is busy today,[Rukiga translation] Akatare kijwire erizoba,Business,5,High,Northern,Formal
S0102,English,Lusoga,We are going home,[Lusoga translation] Tuli kugya waka,Education,4,High,Northern,Informal
S0103,English,Lugbara,The crops are ready,[Lugbara translation] Nyaka afukibo,Agriculture,4,High,West Nile,Informal
S0104,English,Acholi,We are going home,[Acholi translation] Watye ka dok gang,Agriculture,4,High,Central,Formal
S0105,English,Lusoga,Wash your hands,[Lusoga translation] Naaba engalo dho,Health,3,High,Western,Formal
S0106,English,Runyankole,Open the door,[Runyankole translation] YIgura orwigyi,Health,3,High,Eastern,Formal
S0107,English,Ateso,Good morning,[Ateso translation] Ber otingela.,Tourism,2,High,Eastern,Informal
S0108,English,Runyankole,This park has many animals,[Runyankole translation] Ekishaka kyiine ebinyamaiswa bingi,Tourism,5,High,Western,Formal
S0109,English,Ateso,Open the door,[Ateso translation] Buka ebwogo.,Daily Conversation,3,High,Central,Formal
S0110,English,Lugbara,Wash your hands,[Lugbara translation] Mi uji midriki,Health,unknown,High,Eastern,Informal
S0111,English,Ateso,Welcome,[Ateso translation] Ijalama anyin,Daily Conversation,1,High,Northern,Formal
S0112,English,Runyankole,The road is bad,[Runyankole translation] Oruguto nirubi,Tourism,4,High,Northern,Formal
S0113,English,Luganda,Thank you,[Luganda translation] Webale nnyo,Government,2,High,West Nile,Informal
S0114,English,Lugbara,The road is bad,[Lugbara translation] Njila unji,Health,4,High,West Nile,Formal
S0115,English,Ateso,The crops are ready,[Ateso translation] Ebaret ekeda aiyare.,Agriculture,4,High,Western,Informal
S0116,English,Runyankole,School begins tomorrow,[Runyankole translation] Isomero niritandika nkyakare,Education,3,High,West Nile,Formal
S0117,English,Acholi,Thank you,[Acholi translation] Apwoyo,Agriculture,2,High,Northern,Informal
S0118,English,Lugbara,We are going home,[Lugbara translation] Ama mu akuwa,Business,4,High,Northern,Informal
S0119,English,Lugbara,We are going home,[Lugbara translation] Ama mu akuwa,Education,4,High,Eastern,Informal
S0120,English,Lugbara,Welcome,[Lugbara translation] Ma ai mira,Business,1,High,Central,Formal
S0121,English,Lusoga,Open the door,[Lusoga translation] Igulawo olwigi,Tourism,3,High,Northern,Informal
S0122,English,Runyankole,Wash your hands,[Runyankole translation] Naba engaro,Health,3,High,Central,Formal
S0123,English,Lusoga,Welcome,[Lusoga translation] Tusangaile,Tourism,1,High,Central,Formal
S0124,English,Ateso,Welcome,[Ateso translation] Ijalama anyin,Tourism,1,High,Central,Informal
S0125,English,Rukiga,Thank you,[Rukiga translation] Webare,Tourism,2,High,Central,Informal
S0126,English,Lusoga,The crops are ready,[Lusoga translation] Ebisimbe byatuuka,Agriculture,4,High,Western,Informal
S0127,English,Acholi,Welcome,[Acholi translation] Wa joli,Health,1,High,Western,Informal
S0128,English,Acholi,We are going home,[Acholi translation] Watye ka dok gang,Tourism,4,High,West Nile,Informal
S0129,English,Lugbara,Open the door,[Lugbara translation] Indi kati,Daily Conversation,3,High,Central,Formal
S0130,English,Rukiga,School begins tomorrow,[Rukiga translation] Eishomero niritandika nyencakare,Education,3,High,Western,Informal
S0131,English,Runyankole,Open the door,[Runyankole translation] YIgura orwigyi,Government,3,High,Eastern,Formal
S0132,English,Rukiga,Welcome,[Rukiga translation] Twakwakiira,Education,1,High,Northern,Informal
S0133,English,Lusoga,Welcome,[Lusoga translation] Tusangaile,Education,1,High,Eastern,Informal
S0134,English,Lusoga,We are going home,[Lusoga translation] Tuli kugya waka,Agriculture,4,High,Central,Formal
S0135,English,Acholi,The crops are ready,[Acholi translation] Jami ma ki pito dong tye atera,Agriculture,4,High,West Nile,Informal
S0136,English,Lusoga,Wash your hands,[Lusoga translation] Naaba engalo dho,Health,3,High,Eastern,Informal
S0137,English,Luganda,Open the door,[Luganda translation] Ggulawo oluggi,Tourism,3,High,Northern,Formal
S0138,English,Acholi,The crops are ready,[Acholi translation] Jami ma ki pito dong tye atera,Agriculture,4,High,Northern,Formal
S0139,English,Lusoga,The crops are ready,[Lusoga translation] Ebisimbe byatuuka,Agriculture,4,High,Central,Formal
S0140,English,Acholi,Thank you,[Acholi translation] Apwoyo,Education,2,High,Eastern,Formal
S0141,English,Ateso,The road is bad,[Ateso translation] Ebarabara ekeda aiboroit.,Health,4,High,West Nile,Formal
S0142,English,Lugbara,This park has many animals,[Lugbara translation] Jeredigada anakpaki minji,Tourism,5,High,Northern,Formal
S0143,English,Lusoga,The market is busy today,[Lusoga translation] Akatale kalimu abantu kamala olwalelo,Business,5,High,West Nile,Informal
S0144,English,Rukiga,School begins tomorrow,[Rukiga translation] Eishomero niritandika nyencakare,Education,3,High,Northern,Formal
S0145,English,Ateso,The patient needs medicine,[Ateso translation] Ekotosi adeka ekia,Health,4,High,Eastern,Formal
S0146,English,Lugbara,School begins tomorrow,[Lugbara translation] Sukulu la ido dusi,Education,3,High,Central,Informal
S0147,English,Luganda,This park has many animals,[Luganda translation] Paaka eno erimu ensolo nyingi,Tourism,5,High,Northern,Formal
S0148,English,Lusoga,The crops are ready,[Lusoga translation] Ebisimbe byatuuka,Agriculture,4,High,Eastern,Formal
S0149,English,Acholi,Good morning,[Acholi translation] Icoo Maber,Daily Conversation,2,High,Central,Informal
S0150,English,Acholi,The patient needs medicine,[Acholi translation] Latwo ni mito yat,Health,4,High,Northern,Informal
S0151,English,Lugbara,We are going home,[Lugbara translation] Ama mu akuwa,Tourism,4,High,Central,Formal
S0152,English,Lugbara,The patient needs medicine,[Lugbara translation] Ba azoruri le aro,Health,4,High,Eastern,Formal
S0153,English,Acholi,Good morning,[Acholi translation] Icoo Maber,Agriculture,2,High,Northern,Formal
S0154,English,Rukiga,Thank you,[Rukiga translation] Webare,Daily Conversation,2,High,Eastern,Formal
S0155,English,Lusoga,The patient needs medicine,[Lusoga translation] Omulwaire yetaaga obulezi,Health,4,High,Central,Informal
S0156,English,Lusoga,Wash your hands,[Lusoga translation] Naaba engalo dho,Health,3,High,Eastern,Formal
S0157,English,Acholi,We are going home,[Acholi translation] Watye ka dok gang,Daily Conversation,4,High,Western,Informal
S0158,English,Luganda,School begins tomorrow,[Luganda translation] Essomero litandika enkya,Education,3,High,Northern,Formal
S0159,English,Luganda,Wash your hands,[Luganda translation] Naaba emikono gyo,Health,3,High,West Nile,Formal
S0160,English,Luganda,Welcome,[Luganda translation] Tukwaniriza,Health,1,High,Western,Formal
S0161,English,Acholi,Welcome,[Acholi translation] Wa joli,Government,1,High,Eastern,Informal
S0162,English,Acholi,The market is busy today,[Acholi translation] Cuk tye ka tic matek tin,Business,5,High,Western,Informal
S0163,English,Acholi,Welcome,[Acholi translation] Wa joli,Government,1,High,Central,Informal
S0164,English,Ateso,The crops are ready,[Ateso translation] Ebaret ekeda aiyare.,Agriculture,4,High,Western,Formal
S0165,English,Ateso,Good morning,[Ateso translation] Ber otingela.,Daily Conversation,2,High,Western,Formal
S0166,English,Ateso,We are going home,[Ateso translation] Alototo oire,Daily Conversation,4,High,West Nile,Formal
S0167,English,Ateso,Good morning,[Ateso translation] Ber otingela.,Education,2,High,Western,Formal
S0168,English,Runyankole,Wash your hands,[Runyankole translation] Naba engaro,Health,3,High,West Nile,Informal
S0169,English,Runyankole,The crops are ready,[Runyankole translation] Ebihingwa byahaire,Agriculture,4,High,Central,Informal
S0170,English,Ateso,Thank you,[Ateso translation] Eyalama noi.,Government,2,High,West Nile,Informal
S0171,English,Luganda,The patient needs medicine,[Luganda translation] Omulwadde yeetaaga eddagala,Health,4,High,Western,Informal
S0172,English,Runyankole,This park has many animals,[Runyankole translation] Ekishaka kyiine ebinyamaiswa bingi,Tourism,5,High,Northern,Informal
S0173,English,Lugbara,The market is busy today,[Lugbara translation] Su fi andu,Business,5,High,Northern,Formal
S0174,English,Lusoga,The market is busy today,[Lusoga translation] Akatale kalimu abantu kamala olwalelo,Business,5,High,Northern,Informal
S0175,English,Rukiga,School begins tomorrow,[Rukiga translation] Eishomero niritandika nyencakare,Education,3,High,Northern,Formal
S0176,English,Runyankole,The market is busy today,[Runyankole translation] Akatare kali busy,Business,5,High,West Nile,Informal
S0177,English,Lugbara,The patient needs medicine,[Lugbara translation] Ba azoruri le aro,Health,4,High,West Nile,Informal
S0178,English,Ateso,Wash your hands,[Ateso translation] Elota akani,Health,3,High,Northern,Informal
S0179,English,Lusoga,The road is bad,[Lusoga translation] Oluguudo lubi,Business,4,High,Western,Formal
S0180,English,Luganda,Open the door,[Luganda translation] Ggulawo oluggi,Business,3,High,Northern,Formal
S0181,English,Luganda,Welcome,[Luganda translation] Tukwaniriza,Tourism,1,High,Central,Formal
S0182,English,Luganda,Open the door,[Luganda translation] Ggulawo oluggi,Tourism,3,High,Eastern,Informal
S0183,English,Lusoga,Wash your hands,[Lusoga translation] Naaba engalo dho,Health,3,High,Western,Formal
S0184,English,Lugbara,The road is bad,[Lugbara translation] Njila unji,Health,4,High,Eastern,Formal
S0185,English,Lusoga,The road is bad,[Lusoga translation] Oluguudo lubi,Agriculture,4,High,Western,Formal
S0186,English,Luganda,School begins tomorrow,[Luganda translation] Essomero litandika enkya,Education,3,High,Central,Formal
S0187,English,Lugbara,Good morning,[Lugbara translation] Mi afu ngoni,Business,2,High,Northern,Formal
S0188,English,Runyankole,We are going home,[Runyankole translation] Turiyo nituza omuka,Health,4,High,Eastern,Informal
S0189,English,Acholi,Thank you,[Acholi translation] Apwoyo,Daily Conversation,2,High,West Nile,Informal
S0190,English,Acholi,This park has many animals,[Acholi translation] Kabedo pa lee ni tye ki lee mapol,Tourism,5,High,Eastern,Informal
S0191,English,Runyankole,We are going home,[Runyankole translation] Turiyo nituza omuka,Tourism,4,High,Eastern,Formal
S0192,English,Ateso,The road is bad,[Ateso translation] Ebarabara ekeda aiboroit.,Business,4,High,Central,Informal
S0193,English,Luganda,The patient needs medicine,[Luganda translation] Omulwadde yeetaaga eddagala,Health,4,High,Central,Formal
S0194,English,Lusoga,The road is bad,[Lusoga translation] Oluguudo lubi,Government,4,High,Eastern,Formal
S0195,English,Rukiga,School begins tomorrow,[Rukiga translation] Eishomero niritandika nyencakare,Education,3,High,Western,Informal
S0196,English,Lugbara,Open the door,[Lugbara translation] Indi kati,Government,3,High,Northern,Informal
S0197,English,Runyankole,We are going home,[Runyankole translation] Turiyo nituza omuka,Education,4,High,Western,Informal
S0198,English,Ateso,The road is bad,[Ateso translation] Ebarabara ekeda aiboroit.,Tourism,4,High,West Nile,Formal
S0199,English,Rukiga,The patient needs medicine,[Rukiga translation] Omurwaire nayetenga embazi,Health,4,High,Northern,Informal
S0200,English,Rukiga,School begins tomorrow,[Rukiga translation] Eishomero niritandika nyencakare,Education,3,High,Western,Formal
S0201,English,Lugbara,The patient needs medicine,[Lugbara translation] Ba azoruri le aro,Health,4,High,Western,Informal
S0202,English,Luganda,This park has many animals,[Luganda translation] Paaka eno erimu ensolo nyingi,Tourism,5,High,Western,Formal
S0203,English,Acholi,Welcome,[Acholi translation] Wa joli,Business,1,High,Northern,Informal
S0204,English,Lusoga,Thank you,[Lusoga translation] Webale,Government,2,High,Central,Formal
S0205,English,Runyankole,We are going home,[Runyankole translation] Turiyo nituza omuka,Government,4,High,Eastern,Formal
S0206,English,Luganda,Welcome,[Luganda translation] Tukwaniriza,Health,1,High,Eastern,Formal
S0207,English,Lusoga,School begins tomorrow,[Lusoga translation] Eisomero litandika idho,Education,3,High,Western,Formal
S0208,English,Luganda,The patient needs medicine,[Luganda translation] Omulwadde yeetaaga eddagala,Health,4,High,Central,Formal
S0209,English,Rukiga,Open the door,[Rukiga translation] Yaigura orwigi,Tourism,3,High,West Nile,Formal
S0210,English,Lusoga,Welcome,[Lusoga translation] Tusangaile,Daily Conversation,1,High,Northern,Formal
S0211,English,Ateso,School begins tomorrow,[Ateso translation] Egenu esomero emoi,Education,3,High,West Nile,Formal
S0212,English,Ateso,The patient needs medicine,[Ateso translation] Ekotosi adeka ekia,Health,4,High,Central,Informal
S0213,English,Rukiga,Welcome,[Rukiga translation] Twakwakiira,Tourism,1,High,Western,Formal
S0214,English,Luganda,The patient needs medicine,[Luganda translation] Omulwadde yeetaaga eddagala,Health,4,High,Central,Informal
S0215,English,Acholi,Thank you,[Acholi translation] Apwoyo,Agriculture,2,High,Northern,Informal
S0216,English,Ateso,Open the door,[Ateso translation] Buka ebwogo.,Health,3,High,Western,Formal
S0217,English,Ateso,Welcome,[Ateso translation] Ijalama anyin,Tourism,1,High,Northern,Formal
S0218,English,Lusoga,Open the door,[Lusoga translation] Igulawo olwigi,Agriculture,3,High,Eastern,Informal
S0219,English,Ateso,School begins tomorrow,[Ateso translation] Egenu esomero emoi,Education,3,High,Northern,Formal
S0220,English,Runyankole,Open the door,[Runyankole translation] YIgura orwigyi,Government,3,High,Western,Informal
S0221,English,Lusoga,The road is bad,[Lusoga translation] Oluguudo lubi,Tourism,4,High,Central,Formal
S0222,English,Ateso,Thank you,[Ateso translation] Eyalama noi.,Business,2,High,Western,Informal
S0223,English,Ateso,The market is busy today,[Ateso translation] Ipu etunya osokoni,Business,5,High,West Nile,Informal
S0224,English,Lusoga,Good morning,[Lusoga translation] Wasuze otya,Education,2,High,Eastern,Formal
S0225,English,Lusoga,The road is bad,[Lusoga translation] Oluguudo lubi,Agriculture,4,High,Western,Formal
S0226,English,Lugbara,The market is busy today,[Lugbara translation] Su fi andu,Business,5,High,Western,Informal
S0227,English,Runyankole,Welcome,[Runyankole translation] Twakushemererwa,Business,1,High,Eastern,Informal
S0228,English,Ateso,Good morning,[Ateso translation] Ber otingela.,Daily Conversation,2,High,Northern,Informal
S0229,English,Lugbara,Open the door,[Lugbara translation] Indi kati,Daily Conversation,3,High,Eastern,Informal
S0230,English,Acholi,The market is busy today,[Acholi translation] Cuk tye ka tic matek tin,Business,5,High,Western,Formal
S0231,English,Luganda,Open the door,[Luganda translation] Ggulawo oluggi,Daily Conversation,3,High,West Nile,Informal
S0232,English,Ateso,We are going home,[Ateso translation] Alototo oire,Daily Conversation,4,High,Central,Formal
S0233,English,Lugbara,Thank you,[Lugbara translation] Awodifo,Daily Conversation,2,High,Western,Formal
S0234,English,Acholi,The crops are ready,[Acholi translation] Jami ma ki pito dong tye atera,Agriculture,4,High,Northern,Formal
S0235,English,Ateso,The road is bad,[Ateso translation] Ebarabara ekeda aiboroit.,Government,4,High,West Nile,Informal
S0236,English,Lugbara,We are going home,[Lugbara translation] Ama mu akuwa,Education,4,High,Western,Informal
S0237,English,Lugbara,The road is bad,[Lugbara translation] Njila unji,Government,4,High,Northern,Informal
S0238,English,Lusoga,Open the door,[Lusoga translation] Igulawo olwigi,Education,3,High,Western,Formal
S0239,English,Ateso,Open the door,[Ateso translation] Buka ebwogo.,Government,3,High,Northern,Informal
S0240,English,Acholi,The road is bad,[Acholi translation] Gudu ni rac,Agriculture,4,High,West Nile,Informal
S0241,English,Luganda,The market is busy today,[Luganda translation] Akatale kaliimu abantu bangi leero,Business,5,High,Eastern,Formal
S0242,English,Lusoga,The market is busy today,[Lusoga translation] Akatale kalimu abantu kamala olwalelo,Business,5,High,Northern,Formal
S0243,English,Luganda,Open the door,[Luganda translation] Ggulawo oluggi,Agriculture,3,High,Western,Formal
S0244,English,Ateso,The crops are ready,[Ateso translation] Ebaret ekeda aiyare.,Agriculture,4,High,West Nile,Informal
S0245,English,Lusoga,Thank you,[Lusoga translation] Webale,Health,2,High,West Nile,Informal
S0246,English,Ateso,The road is bad,[Ateso translation] Ebarabara ekeda aiboroit.,Health,4,High,Western,Informal
S0247,English,Luganda,This park has many animals,[Luganda translation] Paaka eno erimu ensolo nyingi,Tourism,5,High,Central,Formal
S0248,English,Lusoga,The market is busy today,[Lusoga translation] Akatale kalimu abantu kamala olwalelo,Business,5,High,West Nile,Formal
S0249,English,Luganda,Welcome,[Luganda translation] Tukwaniriza,Business,1,High,Eastern,Informal
S0250,English,Luganda,Wash your hands,[Luganda translation] Naaba emikono gyo,Health,3,High,West Nile,Formal
S0251,English,Acholi,Open the door,[Acholi translation] Yab doggola,Daily Conversation,3,High,Eastern,Formal
S0252,English,Rukiga,The patient needs medicine,[Rukiga translation] Omurwaire nayetenga embazi,Health,4,High,Central,Formal
S0253,English,Lugbara,Good morning,[Lugbara translation] Mi afu ngoni,Agriculture,2,High,West Nile,Formal
S0254,English,Runyankole,The road is bad,[Runyankole translation] Oruguto nirubi,Health,4,High,Northern,Formal
S0255,English,Ateso,The road is bad,[Ateso translation] Ebarabara ekeda aiboroit.,Health,4,High,Central,Formal
S0256,English,Acholi,This park has many animals,[Acholi translation] Kabedo pa lee ni tye ki lee mapol,Tourism,5,High,Western,Informal
S0257,English,Lusoga,Welcome,[Lusoga translation] Tusangaile,Education,1,High,West Nile,Informal
